Name	ScopeWizard	
File	C:\Users\ysmandza\Documents\lcls\lcsl-motion-test-incremental-encoder\data\Scope Project5.csv	
Starttime of export	133907135116130000	Friday, May 2, 2025	19:38:31.613
Endtime of export	133907135912030000	Friday, May 2, 2025	19:39:51.203


Name	fPosition	Name	fPosDiff	Name	nRawEncoderDINT	Name	bPositionHolding
SymbolComment	 Used internally and by the IOC to pick a destination for the move	SymbolComment	 Other status information for users of the IOC 
 Position lag difference	SymbolComment	 Raw encoder IO for INT (EL5072 LVDT)	SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT32	Data-Type	BIT
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	4	VariableSize	1
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	61472	IndexGroup	16448
IndexOffset	159149392	IndexOffset	159150832	IndexOffset	159148748	IndexOffset	159162050
SymbolName	SmartActMCS2.M1.fPosition	SymbolName	SmartActMCS2.M1.fPosDiff	SymbolName	SmartActMCS2.M1.nRawEncoderDINT	SymbolName	SmartActMCS2.fbPiezoDriveDS402Pp.bPositionHolding
NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1	NetID	172.21.148.154.1.1
Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

2640	5000	2640	109	2640	4891	2640	0
2650	5000	2650	109	2650	4891	2650	0
2660	5000	2660	108	2660	4892	2660	0
2670	5000	2670	107	2670	4893	2670	0
2680	5000	2680	110	2680	4890	2680	0
2690	5000	2690	108	2690	4892	2690	0
2700	5000	2700	110	2700	4890	2700	0
2710	5000	2710	109	2710	4891	2710	0
2720	5000	2720	110	2720	4890	2720	0
2730	5000	2730	110	2730	4890	2730	0
2740	5000	2740	110	2740	4890	2740	0
2750	5000	2750	110	2750	4890	2750	0
2760	5000	2760	109	2760	4891	2760	0
2770	5000	2770	111	2770	4889	2770	0
2780	5000	2780	108	2780	4892	2780	0
2790	5000	2790	110	2790	4890	2790	0
2800	5000	2800	110	2800	4890	2800	0
2810	5000	2810	109	2810	4891	2810	0
2820	5000	2820	109	2820	4891	2820	0
2830	5000	2830	109	2830	4891	2830	0
2840	5000	2840	109	2840	4891	2840	0
2850	5000	2850	109	2850	4891	2850	0
2860	5000	2860	109	2860	4891	2860	0
2870	5000	2870	111	2870	4889	2870	0
2880	5000	2880	110	2880	4890	2880	0
2890	5000	2890	111	2890	4889	2890	0
2900	5000	2900	111	2900	4889	2900	0
2910	5000	2910	109	2910	4891	2910	0
2920	5000	2920	110	2920	4890	2920	0
2930	5000	2930	109	2930	4891	2930	0
2940	5000	2940	110	2940	4890	2940	0
2950	5000	2950	109	2950	4891	2950	0
2960	5000	2960	111	2960	4889	2960	0
2970	5000	2970	109	2970	4891	2970	0
2980	5000	2980	111	2980	4889	2980	0
2990	5000	2990	110	2990	4890	2990	0
3000	5000	3000	109	3000	4891	3000	0
3010	5000	3010	108	3010	4892	3010	0
3020	5000	3020	111	3020	4889	3020	0
3030	5000	3030	110	3030	4890	3030	0
3040	5000	3040	111	3040	4889	3040	0
3050	5000	3050	112	3050	4888	3050	0
3060	5000	3060	112	3060	4888	3060	0
3070	5000	3070	111	3070	4889	3070	0
3080	5000	3080	111	3080	4889	3080	0
3090	5000	3090	110	3090	4890	3090	0
3100	5000	3100	109	3100	4891	3100	0
3110	5000	3110	111	3110	4889	3110	0
3120	5000	3120	110	3120	4890	3120	0
3130	5000	3130	110	3130	4890	3130	0
3140	5000	3140	111	3140	4889	3140	0
3150	5000	3150	109	3150	4891	3150	0
3160	5000	3160	111	3160	4889	3160	0
3170	5000	3170	111	3170	4889	3170	0
3180	5000	3180	110	3180	4890	3180	0
3190	5000	3190	110	3190	4890	3190	0
3200	5000	3200	110	3200	4890	3200	0
3210	5000	3210	110	3210	4890	3210	0
3220	5000	3220	110	3220	4890	3220	0
3230	5000	3230	110	3230	4890	3230	0
3240	5000	3240	109	3240	4891	3240	0
3250	5000	3250	110	3250	4890	3250	0
3260	5000	3260	110	3260	4890	3260	0
3270	5000	3270	108	3270	4892	3270	0
3280	5000	3280	109	3280	4891	3280	0
3290	5000	3290	109	3290	4891	3290	0
3300	5000	3300	111	3300	4889	3300	0
3310	5000	3310	111	3310	4889	3310	0
3320	5000	3320	109	3320	4891	3320	0
3330	5000	3330	110	3330	4890	3330	0
3340	5000	3340	110	3340	4890	3340	0
3350	5000	3350	110	3350	4890	3350	0
3360	5000	3360	109	3360	4891	3360	0
3370	5000	3370	109	3370	4891	3370	0
3380	5000	3380	110	3380	4890	3380	0
3390	5000	3390	111	3390	4889	3390	0
3400	5000	3400	110	3400	4890	3400	0
3410	5000	3410	110	3410	4890	3410	0
3420	5000	3420	110	3420	4890	3420	0
3430	5000	3430	110	3430	4890	3430	0
3440	5000	3440	110	3440	4890	3440	0
3450	5000	3450	110	3450	4890	3450	0
3460	5000	3460	110	3460	4890	3460	0
3470	5000	3470	110	3470	4890	3470	0
3480	5000	3480	107	3480	4893	3480	0
3490	5000	3490	109	3490	4891	3490	0
3500	5000	3500	110	3500	4890	3500	0
3510	5000	3510	108	3510	4892	3510	0
3520	5000	3520	110	3520	4890	3520	0
3530	5000	3530	108	3530	4892	3530	0
3540	5000	3540	108	3540	4892	3540	0
3550	5000	3550	111	3550	4889	3550	0
3560	5000	3560	109	3560	4891	3560	0
3570	5000	3570	109	3570	4891	3570	0
3580	5000	3580	109	3580	4891	3580	0
3590	5000	3590	110	3590	4890	3590	0
3600	5000	3600	108	3600	4892	3600	0
3610	5000	3610	110	3610	4890	3610	0
3620	5000	3620	110	3620	4890	3620	0
3630	5000	3630	108	3630	4892	3630	0
3640	5000	3640	111	3640	4889	3640	0
3650	5000	3650	110	3650	4890	3650	0
3660	5000	3660	110	3660	4890	3660	0
3670	5000	3670	109	3670	4891	3670	0
3680	5000	3680	108	3680	4892	3680	0
3690	5000	3690	110	3690	4890	3690	0
3700	5000	3700	109	3700	4891	3700	0
3710	5000	3710	110	3710	4890	3710	0
3720	5000	3720	110	3720	4890	3720	0
3730	5000	3730	110	3730	4890	3730	0
3740	5000	3740	109	3740	4891	3740	0
3750	5000	3750	112	3750	4888	3750	0
3760	5000	3760	109	3760	4891	3760	0
3770	5000	3770	110	3770	4890	3770	0
3780	5000	3780	109	3780	4891	3780	0
3790	5000	3790	110	3790	4890	3790	0
3800	5000	3800	110	3800	4890	3800	0
3810	5000	3810	111	3810	4889	3810	0
3820	5000	3820	109	3820	4891	3820	0
3830	5000	3830	109	3830	4891	3830	0
3840	5000	3840	109	3840	4891	3840	0
3850	5000	3850	110	3850	4890	3850	0
3860	5000	3860	109	3860	4891	3860	0
3870	5000	3870	108	3870	4892	3870	0
3880	5000	3880	109	3880	4891	3880	0
3890	5000	3890	109	3890	4891	3890	0
3900	5000	3900	110	3900	4890	3900	0
3910	5000	3910	110	3910	4890	3910	0
3920	5000	3920	110	3920	4890	3920	0
3930	5000	3930	108	3930	4892	3930	0
3940	5000	3940	109	3940	4891	3940	0
3950	5000	3950	107	3950	4893	3950	0
3960	5000	3960	110	3960	4890	3960	0
3970	5000	3970	109	3970	4891	3970	0
3980	5000	3980	109	3980	4891	3980	0
